comparison_id,trial_id,ae_concept,source_pair,analysis_tier_current,grade_basis_current,arm_id_1,arm_id_2,term_1,term_2,locator_1,locator_2,number_patients_1,number_patients_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_population_1,analysis_population_2,visual_audit_status,structured_audit_concept_mapping,structured_audit_arm_match,structured_audit_denominator_check,structured_audit_source_confirmation,structured_audit_visual_status,final_current_analysis_tier,audit_notes
FULLCOMP000111,TRIAL002,serious_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG000,TRIAL002_EG000,Serious adverse events,Serious TEAEs (SAEs),main article p7 and appendix Table S1 p10,"Table 27, FDA review p148",38,38,95,95,40.0,40.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000119,TRIAL002,serious_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG001,TRIAL002_EG001,Serious adverse events,Serious TEAEs (SAEs),main article p7 and appendix Table S1 p10,"Table 27, FDA review p148",47,47,99,99,47.0,48.0,1.00,3.4 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000131,TRIAL003,any_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL003_EG000,TRIAL003_EG000,All adverse events,Drug-related TEAE,"Table A3, PDF p17","Table 74, FDA review pp184-185",117,117,125,125,94.0,93.6,0.40,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000132,TRIAL003,any_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL003_EG000,TRIAL003_EG000,All adverse events,TEAE,"Table A4, PDF p17","Table 74, FDA review pp184-185",125,125,125,125,100.0,100.0,0.00,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000137,TRIAL003,fatal_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL003_EG000,TRIAL003_EG000,Treatment-related death outside safety reporting period,Drug-related TEAE leading to death,main text p7,"Table 74, FDA review pp184-185",1,0,125,125,0.8,0.0,0.80,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000143,TRIAL003,grade_3_or_higher_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL003_EG000,TRIAL003_EG000,All adverse events,Drug-related TEAE with NCI-CTCAE >= Grade 3,"Table A3, PDF p17","Table 74, FDA review pp184-185",68,68,125,125,54.0,54.4,0.40,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000144,TRIAL003,grade_3_or_higher_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL003_EG000,TRIAL003_EG000,All adverse events,TEAE with NCI-CTCAE >= Grade 3,"Table A4, PDF p17","Table 74, FDA review pp184-185",91,91,125,125,73.0,72.8,0.20,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000146,TRIAL003,serious_adverse_event,ClinicalTrials.gov vs FDA review,primary_candidate,P1_recommended_A,TRIAL003_EG000,TRIAL003_EG000,Participants affected by serious adverse events,Serious TEAE,adverseEventsModule.eventGroups,"Table 74, FDA review pp184-185",59,58,125,125,47.200,46.4,0.80,ClinicalTrials.gov adverse event group summary,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000150,TRIAL004,adverse_event_leading_to_discontinuation,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL004_EG000,TRIAL004_EG000,Discontinued treatment due to adverse event,Discontinued trial therapy due to TEAEs,"Supplementary Table S1, appendix p18",FDA review text p87,3,5,108,108,2.8,4.6,1.80,mTNBC efficacy population,mTNBC efficacy cohort,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000259,TRIAL014,serious_adverse_event,publication vs ClinicalTrials.gov,primary_candidate,P1_recommended_A,TRIAL014_EG000,TRIAL014_EG000,Patients with >=1 treatment-emergent serious adverse event,Participants affected by serious adverse events,"Supplementary Table S7, page_or_unit 36",adverseEventsModule.eventGroups,82,82,250,250,32.8,32.800,0.00,publication safety population,ClinicalTrials.gov adverse event group summary,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000262,TRIAL014,serious_adverse_event,publication vs ClinicalTrials.gov,primary_candidate,P1_recommended_A,TRIAL014_EG001,TRIAL014_EG001,Patients with >=1 treatment-emergent serious adverse event,Participants affected by serious adverse events,"Supplementary Table S7, page_or_unit 36",adverseEventsModule.eventGroups,94,94,239,239,39.3,39.331,0.03,publication safety population,ClinicalTrials.gov adverse event group summary,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000003,TRIAL001,any_adverse_event,publication vs FDA review,sensitivity_candidate,P3_P4_recommended_B,,,TEAEs,Subjects with Any TEAE,"Supplementary Table S3, appendix p11","Table 41, FDA review p183",183,233,184,234,99.5,99.6,0.10,RP2D safety population,HER2-positive breast cancer 5.4 mg/kg FDA safety pool,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000005,TRIAL001,dose_interruption,publication vs FDA review,sensitivity_candidate,P3_P4_recommended_B,,,TEAEs leading to dose interruption,Any TEAE associated with dose interruption,"Supplementary Table S3, appendix p11","Table 38, FDA review p177",65,78,184,234,35.3,33.3,2.00,RP2D safety population,HER2-positive breast cancer 5.4 mg/kg FDA safety pool,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000040,TRIAL001,serious_adverse_event,publication vs FDA review,sensitivity_candidate,P3_P4_recommended_B,,,Serious TEAEs,Subjects with Any Serious TEAE,"Supplementary Table S3, appendix p11","Table 35, FDA review p174",42,47,184,234,22.8,20.1,2.70,RP2D safety population,HER2-positive breast cancer 5.4 mg/kg FDA safety pool,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000106,TRIAL002,serious_adverse_event,publication vs ClinicalTrials.gov,sensitivity_candidate,P1_recommended_B,TRIAL002_EG000,TRIAL002_EG000,Serious adverse events,Participants affected by serious adverse events,main article p7 and appendix Table S1 p10,adverseEventsModule.eventGroups,38,43,95,95,40.0,45.263,5.26,2.5 mg/kg safety population,ClinicalTrials.gov adverse event group summary,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000114,TRIAL002,serious_adverse_event,publication vs ClinicalTrials.gov,sensitivity_candidate,P1_recommended_B,TRIAL002_EG001,TRIAL002_EG001,Serious adverse events,Participants affected by serious adverse events,main article p7 and appendix Table S1 p10,adverseEventsModule.eventGroups,47,53,99,99,47.0,53.535,6.53,3.4 mg/kg safety population,ClinicalTrials.gov adverse event group summary,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000120,TRIAL002,serious_adverse_event,ClinicalTrials.gov vs FDA review,sensitivity_candidate,P1_recommended_B,TRIAL002_EG000,TRIAL002_EG000,Participants affected by serious adverse events,Serious TEAEs (SAEs),adverseEventsModule.eventGroups,"Table 27, FDA review p148",43,38,95,95,45.263,40.0,5.26,ClinicalTrials.gov adverse event group summary,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000123,TRIAL002,serious_adverse_event,ClinicalTrials.gov vs FDA review,sensitivity_candidate,P1_recommended_B,TRIAL002_EG001,TRIAL002_EG001,Participants affected by serious adverse events,Serious TEAEs (SAEs),adverseEventsModule.eventGroups,"Table 27, FDA review p148",53,47,99,99,53.535,48.0,5.53,ClinicalTrials.gov adverse event group summary,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,sensitivity_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
